epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,207.591,1.15263,1.21932,1.55931,0.64934,0.54478,0.58811,0.40288,1.06676,1.12915,1.54896,0.005842,0.005842,0.005842
44,388.249,1.13617,1.20316,1.5539,0.61615,0.57619,0.59461,0.40812,1.06914,1.10783,1.55853,0.005743,0.005743,0.005743
45,574.041,1.13258,1.18983,1.54609,0.677,0.55854,0.60659,0.41814,1.07119,1.09971,1.54413,0.005644,0.005644,0.005644
46,760.982,1.12707,1.18691,1.54564,0.66117,0.54491,0.59083,0.40622,1.07824,1.10778,1.55649,0.005545,0.005545,0.005545
47,948.442,1.13429,1.1871,1.54863,0.6275,0.57327,0.59796,0.40877,1.05528,1.09361,1.54026,0.005446,0.005446,0.005446
48,1137.68,1.12527,1.16721,1.53983,0.68063,0.5677,0.6148,0.42066,1.06106,1.09555,1.53534,0.005347,0.005347,0.005347
49,1325.9,1.12514,1.16964,1.53905,0.65926,0.57287,0.60553,0.41529,1.06218,1.10347,1.5258,0.005248,0.005248,0.005248
50,1514.8,1.12026,1.15212,1.53459,0.66424,0.57124,0.61066,0.42199,1.05397,1.08269,1.52804,0.005149,0.005149,0.005149
51,1703.67,1.11774,1.14626,1.52719,0.66651,0.57175,0.61363,0.42479,1.04182,1.07856,1.51809,0.00505,0.00505,0.00505
52,1892.41,1.10973,1.14207,1.52315,0.64327,0.6008,0.62827,0.43356,1.03383,1.05682,1.50141,0.004951,0.004951,0.004951
53,2080.75,1.10916,1.13447,1.52185,0.63828,0.60011,0.62067,0.42734,1.03413,1.07899,1.51174,0.004852,0.004852,0.004852
54,2269.65,1.11622,1.13693,1.52208,0.6549,0.59505,0.62596,0.43348,1.03227,1.06477,1.51535,0.004753,0.004753,0.004753
55,2458.3,1.09679,1.11637,1.50836,0.65176,0.61394,0.62973,0.43081,1.04451,1.05838,1.51677,0.004654,0.004654,0.004654
