epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.778,3.25405,4.1668,4.22955,0.00295,0.30758,0.00291,0.00091,2.82461,4.05288,4.22725,0.00332888,0.00332888,0.00332888
2,660.176,2.63798,3.57497,3.37308,0.60785,0.24374,0.17433,0.08896,1.88786,2.58866,2.71434,0.00659625,0.00659625,0.00659625
3,970.57,1.75424,2.68381,2.32515,0.61673,0.27315,0.27353,0.15511,1.65434,2.12276,2.33522,0.00979763,0.00979763,0.00979763
4,1275.48,1.59012,2.32376,2.09649,0.44422,0.31701,0.32213,0.189,1.59209,1.84159,2.16008,0.009703,0.009703,0.009703
5,1581.44,1.50419,2.10732,1.97486,0.54509,0.31814,0.35181,0.21187,1.50238,1.70518,2.06889,0.009604,0.009604,0.009604
6,1886.97,1.4363,1.97484,1.89421,0.4928,0.36121,0.37476,0.23659,1.39581,1.61081,1.9186,0.009505,0.009505,0.009505
7,2193.69,1.39182,1.88474,1.84347,0.52893,0.39059,0.40664,0.25553,1.3546,1.4449,1.87007,0.009406,0.009406,0.009406
8,2496.4,1.36912,1.81879,1.80945,0.56669,0.38712,0.42399,0.2662,1.32847,1.41905,1.84514,0.009307,0.009307,0.009307
9,2802.37,1.34388,1.75292,1.78161,0.65704,0.39199,0.43866,0.27861,1.29664,1.32585,1.80492,0.009208,0.009208,0.009208
10,3107.59,1.32376,1.7062,1.76561,0.57582,0.42199,0.45983,0.28814,1.27147,1.32388,1.77324,0.009109,0.009109,0.009109
11,3412.63,1.315,1.66896,1.74325,0.61353,0.42735,0.46176,0.29103,1.25068,1.28271,1.75883,0.00901,0.00901,0.00901
12,3717.56,1.2894,1.62269,1.71985,0.62359,0.42448,0.46869,0.30153,1.23507,1.24431,1.71511,0.008911,0.008911,0.008911
13,4023.29,1.27684,1.57624,1.70433,0.65623,0.44024,0.4813,0.30843,1.23305,1.20908,1.72251,0.008812,0.008812,0.008812
14,4327.45,1.25928,1.5524,1.69588,0.58919,0.4522,0.49,0.31208,1.22807,1.20663,1.72091,0.008713,0.008713,0.008713
15,4631.33,1.2526,1.52138,1.68462,0.62943,0.46303,0.50261,0.31988,1.21627,1.16663,1.70145,0.008614,0.008614,0.008614
16,4933.29,1.24665,1.50463,1.6763,0.62199,0.4753,0.51244,0.32826,1.21129,1.13588,1.69278,0.008515,0.008515,0.008515
17,5236.47,1.24129,1.48257,1.66503,0.60785,0.47999,0.51795,0.32837,1.21919,1.13963,1.70903,0.008416,0.008416,0.008416
18,5540.52,1.23585,1.46024,1.65667,0.62117,0.46519,0.51964,0.33016,1.19169,1.12903,1.67925,0.008317,0.008317,0.008317
19,5841.5,1.22083,1.44639,1.64464,0.6474,0.49655,0.53403,0.34018,1.1628,1.10441,1.64256,0.008218,0.008218,0.008218
20,6145,1.22032,1.42486,1.64554,0.62085,0.50793,0.54623,0.34869,1.1663,1.09041,1.64274,0.008119,0.008119,0.008119
21,6448.05,1.19889,1.38887,1.62679,0.63471,0.50602,0.54689,0.34901,1.16659,1.06498,1.64204,0.00802,0.00802,0.00802
22,6751.07,1.1941,1.3779,1.62297,0.64993,0.51707,0.55937,0.35883,1.14901,1.03468,1.62442,0.007921,0.007921,0.007921
23,7055.21,1.18638,1.37062,1.6202,0.64196,0.52826,0.56581,0.36272,1.1481,1.03122,1.62284,0.007822,0.007822,0.007822
24,7363.64,1.17839,1.35445,1.61267,0.66329,0.52033,0.56368,0.36193,1.14225,1.02724,1.62191,0.007723,0.007723,0.007723
25,7670.47,1.17436,1.3301,1.60576,0.65457,0.52846,0.57378,0.37009,1.12393,1.00595,1.59047,0.007624,0.007624,0.007624
26,7976.8,1.17698,1.32397,1.60248,0.67643,0.52508,0.57395,0.37133,1.1286,1.0109,1.58662,0.007525,0.007525,0.007525
27,8280.69,1.16364,1.30497,1.59426,0.67568,0.52885,0.57786,0.37596,1.11033,0.98749,1.56905,0.007426,0.007426,0.007426
28,8584.34,1.1671,1.30262,1.59547,0.65599,0.54105,0.58581,0.37987,1.10726,0.9955,1.57209,0.007327,0.007327,0.007327
29,8890.55,1.15222,1.27483,1.58237,0.67246,0.54223,0.59333,0.38741,1.09556,0.9731,1.56663,0.007228,0.007228,0.007228
30,9197.17,1.14767,1.26488,1.57936,0.698,0.54548,0.60049,0.39094,1.08476,0.95425,1.55794,0.007129,0.007129,0.007129
31,270.615,1.13051,1.23255,1.5644,0.70551,0.54847,0.60908,0.3965,1.09269,0.94165,1.5561,0.00703,0.00703,0.00703
32,534.9,1.1293,1.22294,1.56325,0.7087,0.55413,0.61436,0.40147,1.07544,0.94871,1.54515,0.006931,0.006931,0.006931
33,796.907,1.1225,1.19964,1.55055,0.7059,0.56188,0.62148,0.40869,1.06772,0.92629,1.52762,0.006832,0.006832,0.006832
34,1062.3,1.12418,1.19891,1.55446,0.71438,0.55591,0.62272,0.40857,1.06791,0.92286,1.53063,0.006733,0.006733,0.006733
35,1340.39,1.12224,1.18913,1.55214,0.70694,0.56979,0.6322,0.41804,1.06124,0.90251,1.51472,0.006634,0.006634,0.006634
36,1603.57,1.11029,1.18282,1.54527,0.7053,0.57214,0.63339,0.41847,1.05634,0.90427,1.51002,0.006535,0.006535,0.006535
37,1866.97,1.111,1.17177,1.53634,0.72264,0.57583,0.6428,0.42253,1.06219,0.89938,1.51735,0.006436,0.006436,0.006436
38,2131.62,1.1064,1.15341,1.53885,0.70696,0.57976,0.64204,0.42648,1.04608,0.89358,1.50143,0.006337,0.006337,0.006337
39,2396.58,1.09233,1.13887,1.52418,0.7023,0.58841,0.6406,0.42394,1.04692,0.88672,1.50325,0.006238,0.006238,0.006238
40,2663.97,1.09518,1.1446,1.52495,0.72358,0.5785,0.64486,0.42718,1.04713,0.88155,1.49557,0.006139,0.006139,0.006139
41,2930.3,1.08007,1.12966,1.51839,0.72294,0.59107,0.64995,0.43211,1.04096,0.87381,1.48659,0.00604,0.00604,0.00604
42,3194.83,1.08775,1.12655,1.52106,0.72894,0.58943,0.65306,0.43395,1.04289,0.86708,1.48933,0.005941,0.005941,0.005941
43,3459.33,1.07888,1.11505,1.51427,0.71878,0.59754,0.65903,0.44038,1.02751,0.86179,1.48628,0.005842,0.005842,0.005842
44,3721.45,1.07835,1.10363,1.51231,0.72384,0.596,0.66132,0.44213,1.02473,0.86238,1.47464,0.005743,0.005743,0.005743
45,3984.47,1.06823,1.09528,1.50369,0.73363,0.59592,0.66393,0.44316,1.02222,0.86264,1.46813,0.005644,0.005644,0.005644
46,4245.86,1.0675,1.08969,1.49888,0.72605,0.60486,0.66692,0.44626,1.02368,0.85325,1.46729,0.005545,0.005545,0.005545
47,4526.59,1.05933,1.07839,1.49497,0.72913,0.60267,0.67044,0.44909,1.02087,0.84468,1.46781,0.005446,0.005446,0.005446
48,4797.65,1.05958,1.06994,1.49499,0.7294,0.61422,0.67377,0.45296,1.01051,0.84044,1.45861,0.005347,0.005347,0.005347
49,5061.35,1.06622,1.07025,1.49348,0.72209,0.62203,0.67595,0.45583,1.00973,0.83413,1.45558,0.005248,0.005248,0.005248
50,5324.55,1.05303,1.06056,1.48669,0.73699,0.61205,0.67699,0.45462,1.00521,0.8256,1.45078,0.005149,0.005149,0.005149
51,5589.4,1.04658,1.04453,1.48083,0.73328,0.61904,0.68448,0.46215,0.99433,0.82125,1.44516,0.00505,0.00505,0.00505
52,5852.58,1.05103,1.04885,1.48385,0.73252,0.62297,0.68551,0.46262,0.99164,0.81933,1.43636,0.004951,0.004951,0.004951
53,6116.02,1.04925,1.03577,1.47969,0.73527,0.62256,0.68866,0.46491,0.99182,0.81865,1.43425,0.004852,0.004852,0.004852
54,6379.82,1.03831,1.02385,1.47089,0.74153,0.62704,0.69126,0.46798,0.98463,0.81205,1.4297,0.004753,0.004753,0.004753
55,6647.16,1.04255,1.01999,1.47248,0.74826,0.62507,0.69378,0.47029,0.9834,0.80639,1.42747,0.004654,0.004654,0.004654
