epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.775,3.22642,4.25948,4.26372,0.00324,0.31191,0.00308,0.00095,2.81138,4.32444,4.28928,0.00332888,0.00332888,0.00332888
2,783.056,2.85284,3.65484,3.54941,0.4288,0.22008,0.16787,0.08574,1.90395,2.55301,2.75192,0.00659625,0.00659625,0.00659625
3,1167.32,1.85064,2.64927,2.36736,0.54511,0.2488,0.26474,0.15033,1.68683,2.11185,2.32181,0.00979763,0.00979763,0.00979763
4,1550.42,1.63498,2.29131,2.07396,0.62227,0.28852,0.32044,0.19765,1.49277,1.85744,2.07805,0.009703,0.009703,0.009703
5,1935.81,1.53435,2.07663,1.94351,0.50453,0.33465,0.3642,0.22595,1.44369,1.64821,2.0058,0.009604,0.009604,0.009604
6,2320.46,1.46517,1.95637,1.85799,0.49811,0.36611,0.38753,0.24904,1.35508,1.52484,1.88621,0.009505,0.009505,0.009505
7,2704.57,1.43076,1.86422,1.82065,0.49663,0.38737,0.40412,0.25444,1.34642,1.45148,1.85121,0.009406,0.009406,0.009406
8,3087.33,1.40218,1.79166,1.77786,0.604,0.4083,0.44279,0.27903,1.28857,1.33846,1.80623,0.009307,0.009307,0.009307
9,3470.89,1.36879,1.72364,1.7394,0.52287,0.42569,0.45796,0.28865,1.28133,1.33354,1.80134,0.009208,0.009208,0.009208
10,3855.41,1.35058,1.67914,1.7291,0.62143,0.41019,0.45811,0.29037,1.23207,1.34178,1.75095,0.009109,0.009109,0.009109
11,4238.18,1.33438,1.65219,1.71397,0.55672,0.43909,0.4709,0.29859,1.24163,1.30023,1.7496,0.00901,0.00901,0.00901
12,4621.61,1.33684,1.62003,1.69593,0.58158,0.45419,0.49083,0.3148,1.21831,1.23926,1.71671,0.008911,0.008911,0.008911
13,392.951,1.30985,1.58762,1.68816,0.58193,0.44897,0.48334,0.30841,1.21811,1.21227,1.71682,0.008812,0.008812,0.008812
14,774.916,1.2991,1.55274,1.66862,0.58845,0.46805,0.50194,0.31777,1.21566,1.19772,1.7174,0.008713,0.008713,0.008713
15,1159.82,1.28363,1.513,1.65314,0.58011,0.47306,0.50929,0.31948,1.21202,1.17916,1.7046,0.008614,0.008614,0.008614
16,1538.05,1.27249,1.50183,1.64079,0.59066,0.4742,0.51546,0.33018,1.17368,1.14669,1.67569,0.008515,0.008515,0.008515
17,1928.19,1.26901,1.47188,1.63301,0.6456,0.48426,0.53239,0.33528,1.19551,1.12365,1.69182,0.008416,0.008416,0.008416
18,2317.68,1.25452,1.44713,1.61785,0.61244,0.50316,0.53412,0.34206,1.15236,1.09551,1.63394,0.008317,0.008317,0.008317
19,2706.88,1.25095,1.42237,1.61499,0.64104,0.52189,0.55641,0.35313,1.16328,1.09379,1.63423,0.008218,0.008218,0.008218
20,3085.26,1.24451,1.40554,1.60519,0.6646,0.51128,0.56333,0.36108,1.1417,1.05386,1.63502,0.008119,0.008119,0.008119
21,3454.55,1.22384,1.37651,1.5847,0.64688,0.52001,0.56519,0.3634,1.1257,1.06055,1.61751,0.00802,0.00802,0.00802
