epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.33,3.7586,6.58666,0.0734,0.83681,0.02743,0.01756,0.00452,3.14578,3.96149,0.09461,0.00998663,0.00332888,0.00998663,0.00332888,0.00998663,0.00332888,0.00998663,0.00332888
2,787.299,2.33798,3.45892,0.04328,0.52429,0.23546,0.21785,0.12036,1.82359,2.36948,0.04474,0.0197888,0.00659625,0.0197888,0.00659625,0.0197888,0.00659625,0.0197888,0.00659625
3,1106.99,1.88059,2.77056,0.03171,0.76717,0.25824,0.27937,0.16107,1.69284,1.97146,0.04007,0.0293929,0.00979763,0.0293929,0.00979763,0.0293929,0.00979763,0.0293929,0.00979763
4,1416.97,1.7502,2.54149,0.02823,0.47029,0.30788,0.31994,0.19244,1.55926,1.7967,0.03712,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1726.89,1.65396,2.33603,0.0258,0.47148,0.33198,0.34554,0.21376,1.49757,1.73369,0.03455,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2037.64,1.60221,2.2008,0.0245,0.49282,0.37226,0.38546,0.24053,1.41625,1.62767,0.0323,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2348.06,1.55058,2.11384,0.0237,0.57545,0.38917,0.41827,0.26405,1.36658,1.4951,0.03048,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2657.76,1.52767,2.05421,0.02307,0.55233,0.41292,0.43752,0.27121,1.37581,1.48987,0.03095,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2969.33,1.49889,1.99103,0.02237,0.61481,0.40854,0.44829,0.27824,1.34471,1.39043,0.02992,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3279.53,1.47649,1.93521,0.02201,0.5613,0.43363,0.47109,0.29959,1.28227,1.34122,0.02799,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3592.94,1.46584,1.87914,0.02152,0.63021,0.43739,0.48574,0.30462,1.27741,1.28787,0.02803,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3906.8,1.44175,1.83363,0.02134,0.61348,0.45617,0.49131,0.31346,1.25434,1.28503,0.02755,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4220.36,1.42973,1.77667,0.02095,0.62912,0.46868,0.51188,0.32749,1.23109,1.23181,0.02671,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4536.73,1.40705,1.74764,0.02082,0.59187,0.47922,0.52304,0.33366,1.23211,1.21325,0.02666,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4851.73,1.3982,1.732,0.02037,0.66472,0.48826,0.53063,0.33619,1.23069,1.20266,0.02695,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5163.88,1.39606,1.69444,0.02024,0.61411,0.51225,0.5467,0.34731,1.21626,1.17388,0.02648,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5478.2,1.39357,1.66892,0.02003,0.65885,0.51092,0.5607,0.35261,1.22121,1.13945,0.02648,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5788.04,1.37993,1.63528,0.01981,0.6317,0.50657,0.55647,0.35488,1.20871,1.15458,0.02616,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6102.23,1.37348,1.63515,0.01955,0.66138,0.52566,0.57036,0.36801,1.18436,1.11933,0.02558,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6412.39,1.36524,1.59339,0.01962,0.66209,0.53408,0.58726,0.37288,1.17961,1.09318,0.02521,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6724.17,1.3455,1.55981,0.01947,0.65329,0.54065,0.58925,0.37709,1.18307,1.07679,0.02546,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7039.54,1.34079,1.5415,0.01924,0.68525,0.55081,0.60371,0.38923,1.15807,1.04988,0.02482,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7353.32,1.33441,1.52683,0.01923,0.67941,0.54606,0.604,0.38624,1.17317,1.064,0.02502,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7666.44,1.33108,1.50775,0.01915,0.66681,0.55085,0.60365,0.38686,1.16589,1.0472,0.02508,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7984.01,1.3265,1.48439,0.01902,0.68619,0.56158,0.62039,0.39638,1.16044,1.03025,0.02495,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8299.27,1.32029,1.46063,0.01864,0.70582,0.56785,0.62624,0.40473,1.14633,1.02296,0.02432,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8615.26,1.31755,1.44984,0.01876,0.69263,0.57205,0.62973,0.40763,1.13374,0.997,0.02378,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8928.56,1.31423,1.4467,0.01859,0.70829,0.56411,0.63159,0.41273,1.12288,0.99626,0.02367,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9242.52,1.29883,1.41474,0.01848,0.7098,0.5888,0.64507,0.42177,1.10081,0.97443,0.02302,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9556.08,1.28966,1.38865,0.01831,0.7083,0.5808,0.64375,0.42384,1.10042,0.97199,0.02298,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9873.2,1.29303,1.39507,0.01826,0.72464,0.58685,0.65246,0.43056,1.09578,0.96824,0.02289,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10188.1,1.27469,1.35667,0.01801,0.7126,0.59524,0.65341,0.43266,1.10163,0.95155,0.0231,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,265.114,1.25052,1.33343,0.01745,0.73628,0.60089,0.67385,0.444,1.11964,0.96491,0.02324,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,510.946,1.25405,1.31101,0.01759,0.71022,0.61325,0.67252,0.44601,1.11493,0.95978,0.02329,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,755.235,1.23682,1.27728,0.01723,0.7504,0.6116,0.67753,0.44895,1.10697,0.97134,0.02297,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1011.54,1.2388,1.27902,0.01725,0.74287,0.61163,0.67936,0.45487,1.10039,0.95125,0.02277,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1261.58,1.24039,1.27293,0.01738,0.74151,0.61614,0.6836,0.4594,1.08727,0.93203,0.02241,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1508.84,1.22861,1.27785,0.01697,0.7418,0.62624,0.68961,0.45964,1.08858,0.94067,0.02242,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
